repo_full_name,html_url,description,homepage,topics,archived,disabled,is_fork,license_spdx,language,stars,forks,watchers,open_issues,size_kb,created_at,updated_at,pushed_at,days_since_last_commit,days_since_last_update,risk_score,action,risk_flags,why,updated_at_run
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,OpenMMLab Detection Toolbox and Benchmark,https://mmdetection.readthedocs.io,"cascade-rcnn,convnext,detr,fast-rcnn,faster-rcnn,glip,grounding-dino,instance-segmentation,mask-rcnn,object-detection,panoptic-segmentation,pytorch,retinanet,rtmdet,semisupervised-learning,ssd,swin-transformer,transformer,vision-transformer,yolo",0,0,0,Apache-2.0,Python,32386,9849,32386,1952,64771,2018-08-22T07:06:06Z,2026-02-08T15:24:37Z,2024-08-21T02:01:07Z,537,0,60,CAUTION,NO_COMMIT_365D|ISSUE_PRESSURE_MED,"No commits for 537 days and has 1,952 open issues, indicating low recent activity and high maintenance burden.",2026-02-09T05:02:29.403543+00:00
YMFE/yapi,https://github.com/YMFE/yapi,YApi 是一个可本地部署的、打通前后端及QA的、可视化的接口管理平台,http://yapi.smart-xwork.cn/,"api,api-management,api-manager,api-test",0,0,0,Apache-2.0,JavaScript,27761,4842,27761,1620,232820,2016-05-30T09:09:09Z,2026-02-07T12:10:54Z,2024-08-12T09:29:34Z,545,1,60,CAUTION,NO_COMMIT_365D|ISSUE_PRESSURE_MED,"No commits for 545 days with 1,620 open issues, suggesting the project is not actively maintained and has significant unresolved problems.",2026-02-09T05:02:29.771962+00:00
nylas/nylas-mail,https://github.com/nylas/nylas-mail,:love_letter: An extensible desktop mail app built on the modern web.  Forks welcome!,https://nylas.com/nylas-mail/,"babel,electron,email,flux,javascript,linux,macos,nylas-mail,productivity,react,windows",0,0,0,MIT,JavaScript,24800,1365,24800,1003,87026,2014-10-16T18:29:12Z,2026-02-08T14:50:43Z,2022-11-24T08:20:57Z,1172,0,60,CAUTION,NO_COMMIT_365D|ISSUE_PRESSURE_MED,"No commits for 1,172 days, indicating the project is very stale and likely abandoned, despite having 24,800 stars.",2026-02-09T05:02:29.893814+00:00
fighting41love/funNLP,https://github.com/fighting41love/funNLP,中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取,https://zhuanlan.zhihu.com/yangyangfuture,,0,0,0,,Python,78894,15141,78894,44,174188,2018-08-21T11:20:39Z,2026-02-09T03:51:36Z,2024-05-10T07:38:24Z,639,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,"No commits for 639 days and has an unclear license, posing legal and maintenance risks despite 78,894 stars.",2026-02-09T05:02:29.036056+00:00
resume/resume.github.com,https://github.com/resume/resume.github.com,Resumes generated using the GitHub informations,https://resume.github.com,,0,0,0,,JavaScript,62791,1362,62791,71,411,2011-02-06T13:39:55Z,2026-02-08T23:56:55Z,2023-02-15T06:38:51Z,1089,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,"No commits for 1,089 days and has an unclear license, indicating inactivity and potential legal uncertainty.",2026-02-09T05:02:29.526525+00:00
meta-llama/llama,https://github.com/meta-llama/llama,Inference code for Llama models,,,0,0,0,NOASSERTION,Python,59129,9827,59129,513,1150,2023-02-14T09:29:12Z,2026-02-09T01:57:44Z,2025-01-26T21:42:26Z,378,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,"No commits for 378 days and has an unclear license (NOASSERTION), raising concerns about legal use and ongoing development.",2026-02-09T05:02:29.157875+00:00
lencx/ChatGPT,https://github.com/lencx/ChatGPT,"🔮 ChatGPT Desktop Application (Mac, Windows and Linux)",,"ai,app,application,chatgpt,desktop-app,gpt,gpt-3,linux,macos,notes-app,openai,rust,tauri,webview,windows",0,0,0,,Rust,54393,6222,54393,918,32499,2022-12-07T09:43:02Z,2026-02-09T04:12:12Z,2024-08-29T17:58:11Z,528,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,"No commits for 528 days and has an unclear license, suggesting inactivity and potential legal ambiguity for use.",2026-02-09T05:02:30.999021+00:00
NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,Based on a true story,,,0,0,0,,JavaScript,49412,6680,49412,68,105,2015-11-21T19:05:09Z,2026-02-08T19:39:31Z,2023-10-23T21:01:40Z,839,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,"No commits for 839 days and has an unclear license, indicating the project is inactive and lacks clear usage rights.",2026-02-09T05:02:29.527355+00:00
apachecn/ailearning,https://github.com/apachecn/ailearning,AiLearning：数据分析+机器学习实战+线性代数+PyTorch+NLTK+TF2,http://ailearning.apachecn.org/,"adaboost,apriori,deeplearning,dnn,fp-growth,kmeans,logistic,lstm,mahchine-leaning,naivebayes,nlp,pca,python,recommendedsystem,regression,rnn,scikit-learn,sklearn,svd,svm",0,0,0,NOASSERTION,Python,42027,11613,42027,3,171378,2017-02-25T08:53:02Z,2026-02-09T03:12:36Z,2024-11-12T16:21:55Z,453,0,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,"No commits for 453 days and has an unclear license (NOASSERTION), posing legal and maintenance risks despite 42,027 stars.",2026-02-09T05:02:29.280068+00:00
floodsung/Deep-Learning-Papers-Reading-Roadmap,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,,deep-learning,0,0,0,,Python,39470,7335,39470,91,3638,2016-10-14T11:49:48Z,2026-02-08T01:01:20Z,2022-11-27T13:18:32Z,1169,1,55,CAUTION,LICENSE_UNCLEAR|NO_COMMIT_365D,"No commits for 1,169 days and has an unclear license, indicating long-term inactivity and legal uncertainty.",2026-02-09T05:02:29.280909+00:00
